sun,mon,tue,wed,thu,fri,sat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,6,6:30,7,7:30,8,8:30,9,9:30,10,10:30,11,11:30,12,12:30,13,13:30,14,14:30,15,15:30,16,16:30,17,17:30,18,18:30,19,19:30
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19,31,50,95,75,78,64,45,29,20,19,46,61,38,30,20,23,18,60,84,117,93,110,86,68,44,20
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,17,26,53,85,57,54,51,36,24,16,14,31,45,35,22,14,18,16,48,63,81,100,75,62,48,30,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,13,22,46,65,61,60,37,27,18,16,14,38,38,25,19,13,14,13,39,50,56,81,59,69,46,33,14
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,23,36,74,86,73,68,57,41,27,19,19,50,66,43,29,22,19,19,58,79,105,110,96,89,57,35,24
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,21,35,69,127,65,73,48,37,26,22,22,46,65,43,30,22,20,22,64,59,111,83,97,90,64,41,20
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,21,27,64,86,99,76,52,39,26,20,18,41,49,43,33,20,19,17,55,84,122,107,105,72,52,39,21
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,19,24,77,99,95,77,57,41,24,21,20,47,52,38,34,19,20,20,61,67,113,104,96,87,68,37,21
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,17,32,70,114,86,61,52,47,26,21,22,48,57,46,30,23,19,18,70,77,125,107,114,87,56,42,20
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,20,23,56,77,70,62,37,33,19,14,16,45,46,34,24,13,16,16,43,55,111,91,102,63,47,35,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,13,24,49,56,56,44,48,30,21,13,15,38,39,26,19,15,13,15,36,54,88,75,66,61,47,27,15
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,20,34,62,89,73,55,53,41,21,19,19,52,65,40,30,17,22,20,59,68,111,86,101,77,54,50,17
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,17,35,54,99,91,70,52,42,26,20,20,51,60,34,33,22,22,22,53,78,108,114,111,71,62,38,19
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,19,29,74,101,78,73,60,38,23,21,17,54,62,36,30,19,21,18,59,71,108,96,92,78,62,37,22
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,20,26,66,102,86,71,64,33,26,19,23,43,60,38,30,23,22,22,53,71,120,105,113,89,60,35,17
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,17,33,67,105,83,69,49,41,21,22,21,41,57,43,34,25,18,19,70,74,121,110,104,76,59,40,21
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,16,19,62,89,72,58,49,34,19,17,16,44,44,33,26,15,18,14,46,57,75,83,84,57,49,34,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,13,23,47,66,65,50,38,31,15,15,14,42,35,28,19,16,16,12,43,47,72,70,79,57,40,31,13
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10,20,31,72,110,81,61,56,36,25,23,21,58,57,46,26,20,20,22,64,73,99,95,107,80,58,42,18
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,21,33,64,97,88,76,53,48,25,21,19,48,70,35,33,22,20,20,50,72,102,104,101,85,71,39,21
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,19,32,62,108,79,65,53,41,28,19,16,57,53,43,26,18,23,22,71,84,116,96,103,81,74,36,20
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,16,24,70,108,89,72,56,45,23,21,22,69,57,41,33,21,20,23,54,71,111,118,103,74,74,42,15
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,18,30,73,93,82,65,46,38,21,21,22,55,53,45,31,23,22,18,56,79,123,127,98,89,67,45,19
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,16,23,50,79,70,46,44,27,23,16,17,40,47,33,24,17,17,15,50,63,105,83,78,57,56,30,13
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,13,24,47,64,56,52,41,25,19,15,15,36,38,34,21,15,14,16,46,50,68,73,71,52,41,27,13
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,19,27,63,99,78,61,49,36,24,20,18,40,51,41,32,18,17,20,46,70,104,89,84,65,63,33,19
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,19,30,55,80,77,64,46,43,21,19,18,49,58,33,32,16,21,19,59,56,112,87,86,76,58,35,20
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,16,26,62,89,82,61,40,39,26,19,18,46,43,24,24,19,23,18,50,60,97,93,96,57,56,31,19
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,15,25,68,88,76,66,52,38,24,15,16,45,59,40,29,19,19,17,55,61,112,92,85,73,49,40,17
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,19,27,63,85,71,59,53,36,22,19,21,36,47,31,28,17,18,17,41,64,94,94,79,66,55,31,18
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,15,21,51,74,60,54,36,29,18,15,12,34,39,34,20,15,16,13,50,46,80,78,80,54,32,29,14
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,11,20,51,71,56,42,34,28,14,13,14,30,34,25,18,12,12,11,42,45,71,74,67,48,35,25,11
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,17,27,64,89,74,69,44,41,17,17,19,38,59,32,29,22,19,17,56,68,98,88,89,60,52,32,20
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,15,27,75,89,91,69,55,38,21,17,18,42,43,40,30,18,16,15,62,56,112,102,88,76,58,35,21
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,16,24,60,96,89,66,50,32,22,16,21,35,57,40,27,19,18,18,55,63,96,98,89,75,52,37,18
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,18,29,68,94,78,69,47,37,23,19,19,48,47,34,26,22,19,17,52,63,97,108,80,77,56,43,16
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,22,24,60,99,73,67,53,32,25,16,19,43,55,44,26,23,15,15,49,58,105,86,94,69,47,37,18
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,11,22,51,80,48,48,44,31,16,14,15,40,41,24,20,14,15,11,47,43,77,73,68,49,40,26,13
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,12,20,42,68,47,47,32,26,14,12,14,26,42,22,19,12,13,12,28,40,66,75,65,55,34,30,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,20,32,64,86,85,63,52,38,27,17,19,49,55,33,31,18,21,21,49,63,99,85,79,72,60,39,19
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,17,23,57,108,91,63,42,35,25,21,17,51,54,37,28,18,17,19,57,69,106,97,83,83,58,36,19
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,20,29,66,100,76,61,50,37,20,20,17,48,47,34,26,16,20,22,51,60,112,102,81,79,59,34,18
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,17,22,67,86,79,57,58,37,24,21,17,42,55,36,28,17,19,19,53,67,103,110,93,81,62,38,19
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,18,26,62,99,95,55,51,36,24,17,21,40,56,31,26,18,17,20,58,48,100,110,83,72,61,43,19
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,13,21,45,75,54,53,44,31,19,14,13,35,48,28,25,13,14,13,46,58,86,86,70,67,40,27,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,13,17,49,68,49,43,32,25,17,13,13,36,36,27,18,14,13,13,39,47,80,69,56,49,40,28,11
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,18,25,71,101,76,71,57,36,20,19,20,51,52,32,25,18,17,17,56,59,114,84,99,66,60,31,17
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,18,28,61,93,83,62,47,35,26,18,22,50,51,34,24,17,23,18,54,69,117,98,97,69,54,34,16
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,14,32,61,100,71,66,54,40,23,21,18,52,49,37,27,18,16,18,46,68,111,104,87,67,51,37,17
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,19,33,83,109,66,59,55,39,26,20,24,45,58,40,25,20,21,25,57,69,123,106,112,70,60,44,16
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,23,36,64,92,95,70,57,36,25,19,22,50,61,39,30,19,20,23,63,73,96,109,85,90,66,41,19
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,19,26,65,71,59,59,52,36,24,15,15,39,51,34,20,15,19,16,47,61,85,74,84,67,48,30,17
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,19,18,54,55,51,47,43,28,17,15,12,32,43,26,26,13,14,14,42,44,90,73,73,54,43,28,12
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,21,30,75,92,86,69,49,38,26,17,21,46,53,37,32,21,21,21,58,73,119,119,107,93,61,38,19
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,18,28,74,85,77,69,49,45,28,22,20,55,63,36,30,21,17,19,58,62,126,97,84,92,62,36,21
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,21,27,85,95,96,72,52,34,20,18,20,51,60,42,30,23,21,25,67,72,96,124,96,87,55,32,24
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,18,29,50,117,82,59,51,43,21,20,19,49,62,39,27,20,24,18,62,63,112,106,96,91,61,39,18
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,21,32,68,91,82,63,50,40,28,20,21,50,52,43,33,20,20,21,64,68,120,119,95,79,67,35,23
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,14,22,49,79,68,69,46,37,18,17,14,38,57,37,24,13,15,18,46,53,96,80,79,70,48,31,17
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,13,21,43,78,66,52,32,33,19,15,15,39,44,20,21,15,11,13,43,44,76,84,74,52,49,32,14
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,21,30,74,111,94,77,48,43,29,20,20,48,64,40,32,18,22,20,59,65,113,104,97,86,68,33,19
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,20,32,77,81,78,66,55,38,19,14,17,55,67,37,26,21,17,19,67,78,131,95,104,83,63,46,19
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,22,30,62,109,76,61,57,49,26,19,17,53,69,41,29,21,17,23,63,68,127,89,102,76,64,41,22
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,24,32,68,92,79,66,51,34,25,21,19,44,54,50,27,20,18,19,55,77,134,129,123,72,52,32,17
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,19,33,75,97,79,69,61,39,27,18,18,53,68,40,26,20,20,22,70,65,108,116,105,77,61,42,19
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,17,25,61,85,66,70,48,32,19,16,18,46,44,32,27,18,16,13,42,50,103,91,94,50,57,36,18
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,14,26,51,67,60,51,35,32,14,17,15,34,39,31,23,13,15,17,43,51,80,81,78,55,43,28,15
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,21,29,59,103,94,68,47,38,26,20,17,53,63,42,34,17,20,18,67,70,111,101,113,70,65,31,21
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,23,23,74,105,88,69,55,41,22,20,19,37,48,39,24,20,23,20,51,76,116,112,101,70,52,44,17
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,20,36,73,95,83,75,50,34,28,16,17,55,69,46,30,22,20,21,69,61,116,109,100,76,67,41,18
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,19,29,74,88,73,72,52,40,29,21,21,48,55,42,33,19,20,19,64,66,129,112,100,91,57,39,20
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,21,35,55,96,92,65,51,46,21,24,19,49,50,41,23,19,22,18,59,74,118,109,99,80,61,38,21
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,17,25,50,57,77,61,42,33,21,17,17,40,42,30,26,16,17,16,59,58,102,89,94,70,52,33,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,12,23,46,73,65,54,36,35,16,15,14,34,42,29,23,14,16,14,44,56,77,73,54,50,43,28,14
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,21,32,73,83,84,59,65,36,27,21,22,54,67,45,36,22,18,18,67,72,106,98,114,82,54,47,19
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,21,34,69,109,91,80,45,39,22,21,21,49,60,36,30,16,21,20,54,59,95,98,126,88,67,40,20
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,22,31,72,104,95,66,56,44,27,21,16,44,53,41,23,20,23,19,55,76,106,91,96,79,62,43,17
